Driver_ID,Name,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
12,Piquet Jr.,7,0.00813953488372093,1.6968138899917814e-05,0.009934432643114824
185,Bellof,7,0.00813953488372093,3.644567973786181e-05,0.019744475278019185
198,Villeneuve Sr.,7,0.00813953488372093,0.0,0.028023589259273302
134,Bertaggia,7,0.00813953488372093,5.5951123985885866e-06,0.0010274844885320865
40,Friesacher,7,0.00813953488372093,8.73361186817482e-06,0.027339015248225847
104,Fittipaldi,7,0.00813953488372093,0.0,0.03172431364514543
106,Beretta,6,0.0069767441860465115,0.0,0.02622495510354909
41,Zonta,6,0.0069767441860465115,1.692070281831226e-07,0.027704885216916816
94,Martini,6,0.0069767441860465115,1.0686118145964605e-05,0.025051991620738172
174,Dumfries,6,0.0069767441860465115,0.0005279259279313425,0.020816981711267404
150,Brabham,6,0.0069767441860465115,1.2182906029184826e-06,0.001415299392360815
100,Comas,6,0.0069767441860465115,0.0,0.022782093019373575
196,Boesel,6,0.0069767441860465115,1.011933571711743e-06,0.02441296331315188
108,Belmondo,6,0.0069767441860465115,5.3708508833514445e-06,0.001127403906883871
83,Lamy,6,0.0069767441860465115,0.0,0.024761672492760494
201,Borgudd,6,0.0069767441860465115,3.134509622016248e-07,0.029829521621836157
188,Cecotto,6,0.0069767441860465115,0.0,0.020054469236410112
73,Rosset,6,0.0069767441860465115,0.0,0.03173888332047324
127,Gugelmin,6,0.0069767441860465115,8.704419728596028e-06,0.008195903873523246
215,Guerra,6,0.0069767441860465115,0.0,0.014546347806129978
8,Räikkönen,5,0.005813953488372093,2.8649460113845415e-06,0.01036378708722266
77,Berger,5,0.005813953488372093,0.0,0.022079320911984786
209,Lees,5,0.005813953488372093,2.163798966462962e-06,0.010000124481244984
119,Patrese,5,0.005813953488372093,0.00021079901736456244,0.0044183360019470425
74,Tuero,5,0.005813953488372093,0.0,0.025531386016400617
97,Papis,5,0.005813953488372093,0.0,0.01916080602827683
169,Fabre,4,0.004651162790697674,0.0,0.016370725529380115
166,Streiff,4,0.004651162790697674,2.9181522103094448e-06,0.00645391510653695
197,Jarier,4,0.004651162790697674,0.0,0.020387948987877425
14,Coulthard,4,0.004651162790697674,1.1778567156643339e-06,0.007462620527710696
13,Massa,4,0.004651162790697674,1.1778567156643339e-06,0.007462620527710696
175,Tambay,4,0.004651162790697674,0.0,0.01972368066066433
206,Daly,4,0.004651162790697674,2.5514368855733885e-06,0.00600678029180837
91,Wendlinger,4,0.004651162790697674,0.0,0.013165333219878105
184,Baldi,4,0.004651162790697674,0.0,0.00805374584200935
